Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Empire Builder,Long Distance,29.8,48.2,15.6,12.4,76.1,-46.3,29.1,206.8,308.2,136.7,1.1,858
Capitol Limited,Long Distance,11.8,13.6,9,6.4,29,-17.2,12.2,89.2,61.1,37.7,0.4,464
California Zephyr,Long Distance,33.9,50.2,17.9,17.9,86,-52.1,32.6,215,251,132.2,1.1,542
Southwest Chief,Long Distance,26.2,44.5,22.8,12.3,79.7,-53.4,26.1,155.9,226.6,135.4,1.1,475
City of New Orleans,Long Distance,12.8,16.8,8.7,5.4,30.9,-18.1,12.4,148.4,119.1,59.9,0.4,478
Texas Eagle,Long Distance,16.8,24.9,10.7,6,41.6,-24.8,16.1,191.4,120.3,89.5,0.6,482
Sunset Limited,Long Distance,8.1,21.2,9.6,5.8,36.6,-28.5,7.5,53.5,96.3,40.4,0.4,206
Coast Starlight,Long Distance,27.2,34.3,15.3,10.3,59.9,-32.7,25.9,222.2,149.4,94.6,0.6,471
Lake Shore Limited,Long Distance,21.1,23.9,17.5,8,49.4,-28.3,21.1,216.4,152.7,88.8,0.5,923
Palmetto,Long Distance,17.9,13.2,10.4,5,28.6,-10.8,17.2,201.1,110,50.9,0.4,486
Crescent,Long Distance,24.1,23.8,20.2,8.2,52.2,-28.1,23.7,179,160.4,73.8,0.6,486
Auto Train,Long Distance,85.5,37.5,24.1,9.2,70.8,14.7,88.1,192.4,252.4,113.8,0.4,470
Long Distance Adjustments,Long Distance,0,0.1,1.6,0.9,2.6,-2.6,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,372.9,417.5,226.9,128.3,772.7,-399.8,368.6,"2,533.30","2,380.00","1,269.20",9.3,"7,479.00"
Ancillary,Amtrak,274.3,44.5,146.5,67.8,258.9,15.5,,,,,,
Infrastructure,Amtrak,176.5,45.9,167.6,55.1,268.6,-92.1,,,,,,
Amtrak,Amtrak,"2,165.20","1,018.70","1,128.60",535.7,"2,683.00",-517.8,"1,469.20","17,754.40","7,391.30","3,596.90",23.7,"66,715.10"
