Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
California Zephyr,Long Distance,17.1,25.6,10.3,8.6,44.4,-27.3,16.6,107.3,126.8,67.2,0.6,260
Southwest Chief,Long Distance,13.1,22.5,12.1,5.5,40.1,-26.9,13,78.5,111.1,67.6,0.6,244
City of New Orleans,Long Distance,5.9,8.3,4.5,2.3,15.1,-9.2,5.7,70.8,58.5,27.8,0.2,240
Texas Eagle,Long Distance,8.6,12.5,5.7,2.5,20.8,-12.1,8.2,99.9,62.2,46,0.3,246
Sunset Limited,Long Distance,4.3,10.8,5.2,2.4,18.3,-14,4,29.1,53.1,21.9,0.2,104
Coast Starlight,Long Distance,14.4,17.3,8.3,4.5,30.1,-15.7,13.7,119.7,82.9,49.9,0.3,237
Lake Shore Limited,Long Distance,10.5,11.8,9.2,3.4,24.5,-14,10.5,115.8,79.1,46.5,0.3,453
Palmetto,Long Distance,8.7,6.1,5.6,2.1,13.8,-5.1,8.4,94.4,53.7,24.3,0.2,246
Crescent,Long Distance,12.1,11.4,11,3.7,26,-13.9,11.9,88.7,79.3,37.6,0.3,246
Auto Train,Long Distance,41.9,18.9,12.9,4.2,36,5.9,43.1,94.3,124.7,59,0.2,234
Long Distance Adjustments,Long Distance,0,0,1.4,0.5,1.9,-1.9,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,185.3,208.9,121.7,56.4,387.1,-201.8,183,"1,273.60","1,197.50",638.8,4.7,"3,738.00"
Ancillary,Amtrak,137.3,23.1,74.5,34.1,131.7,5.6,,,,,,
Infrastructure,Amtrak,88.9,23.2,85.5,22.7,131.4,-42.5,,,,,,
Amtrak,Amtrak,"1,089.30",508.7,580.4,243,"1,332.10",-242.8,739.4,"8,837.00","3,685.30","1,802.60",11.8,"33,173.80"
